Feature,Modality,Mean_Abs_SHAP
Left-Caudate,MRI,0.02121
Brain-Stem,MRI,0.021013
FAR1,Gene,0.020556
CRLS1,Gene,0.020516
LYST,Gene,0.019891
UBE2D3.1,Gene,0.019497
lh_fusiform_thickness,MRI,0.019179
PCNP,Gene,0.019179
SLC35A5,Gene,0.018975
TMX1,Gene,0.018927
C11orf54,Gene,0.018852
rh_MeanThickness_thickness,MRI,0.018736
lh_precuneus_thickness,MRI,0.01867
rhCorticalWhiteMatterVol,MRI,0.018532
FOXN2,Gene,0.018317
NUP214,Gene,0.018269
BrainSegVol,MRI,0.018142
SRP9,Gene,0.017535
VPS26A,Gene,0.017334
PPP2R3C,Gene,0.017298
CNIH1,Gene,0.017277
rh_precuneus_thickness,MRI,0.017218
lh_posteriorcingulate_thickness,MRI,0.017034
NIN,Gene,0.016992
ARL6IP5,Gene,0.016873
FBXL5,Gene,0.016857
RCOR3,Gene,0.016815
DIP2B,Gene,0.016671
ATP6V0E1.1,Gene,0.016031
AZIN1,Gene,0.015547
SERINC1,Gene,0.015517
EstimatedTotalIntraCranialVol,MRI,0.015484
DEGS1,Gene,0.015443
Left-vessel,MRI,0.015282
rh_lateraloccipital_thickness,MRI,0.014853
RHOT1.1,Gene,0.01427
rh_temporalpole_thickness,MRI,0.01422
AP1S2,Gene,0.014214
rhSurfaceHoles,MRI,0.013931
ARGLU1,Gene,0.013687
lh_entorhinal_thickness,MRI,0.013117
GLRX,Gene,0.012911
NFE2L2,Gene,0.012463
Left-Inf-Lat-Vent,MRI,0.012311
lh_precentral_thickness,MRI,0.012014
Right-choroid-plexus,MRI,0.011864
SNRNP27,Gene,0.011153
JKAMP,Gene,0.011151
BNIP2,Gene,0.010959
lh_pericalcarine_thickness,MRI,0.010815
TENT2,Gene,0.010649
TLE4,Gene,0.010389
TRAPPC8,Gene,0.009769
SubCortGrayVol,MRI,0.009385
rh_isthmuscingulate_thickness,MRI,0.0092
Right-VentralDC,MRI,0.008779
lh_caudalmiddlefrontal_thickness,MRI,0.007618
STK17B,Gene,0.006619
LAMP2.4,Gene,0.006557
RNF144B,Gene,0.006529
BrainSegVol-to-eTIV,MRI,0.00641
ZBTB34,Gene,0.005973
SLMAP,Gene,0.005781
GALC,Gene,0.005729
ABI1,Gene,0.005611
5th-Ventricle,MRI,0.005598
