Feature,Modality,Mean_Abs_SHAP
rh_inferiorparietal_thickness,MRI,0.007015
CLN3,Gene,0.006875
BrainSegVolNotVentSurf,MRI,0.006793
APH1A,Gene,0.006623
EXOSC10,Gene,0.006455
RALY.1,Gene,0.00644
MAP7D1,Gene,0.006269
PPP1R11,Gene,0.006228
CFAP74,Gene,0.006069
PIP4K2A.1,Gene,0.006012
UBB.1,Gene,0.005967
IFIT1B,Gene,0.005914
NELFCD,Gene,0.005742
Right-Thalamus-Proper,MRI,0.005679
DCAF15,Gene,0.005678
TMEM175,Gene,0.005579
ARMC10,Gene,0.005565
APMAP,Gene,0.005562
lhCorticalWhiteMatterVol,MRI,0.00555
ARL6IP5,Gene,0.005497
MKNK2,Gene,0.005466
Left-choroid-plexus,MRI,0.005374
RPS9,Gene,0.005362
ADD3.2,Gene,0.00534
B4GALT5,Gene,0.005166
MX2,Gene,0.00515
TBC1D2B,Gene,0.005132
RPRD1A,Gene,0.005114
GRN.1,Gene,0.004966
ORAI1,Gene,0.004815
EEF1B2,Gene,0.004694
rh_precentral_thickness,MRI,0.004569
SLC35B1,Gene,0.004455
SupraTentorialVolNotVent,MRI,0.003639
3rd-Ventricle,MRI,0.003521
SubCortGrayVol,MRI,0.003506
RAB37.2,Gene,0.00336
rh_superiortemporal_thickness,MRI,0.003357
KBTBD2,Gene,0.003263
COMMD9,Gene,0.003215
FTH1P12,Gene,0.003138
NELFB.1,Gene,0.00306
SupraTentorialVol,MRI,0.002989
SLC41A3,Gene,0.002868
CorticalWhiteMatterVol,MRI,0.002866
5th-Ventricle,MRI,0.002848
SEC61A1,Gene,0.002844
PSMC3,Gene,0.002626
ERAP2.1,Gene,0.002553
ZNF700,Gene,0.002242
MMD,Gene,0.002196
RNASEL.1,Gene,0.002136
ITGB1.1,Gene,0.001993
SupraTentorialVolNotVentVox,MRI,0.001966
SIAH2,Gene,0.001959
FCAR,Gene,0.001935
ATP5PD,Gene,0.001877
PSMC5,Gene,0.001127
SCPEP1,Gene,0.000948
UCP2,Gene,0.000757
ZNF223,Gene,0.000714
MRPL41,Gene,0.000705
LYZ.1,Gene,0.00065
NAE1,Gene,0.000638
SMARCC1,Gene,0.000546
rh_temporalpole_thickness,MRI,0.000475
INSIG1,Gene,0.00039
SSH2,Gene,0.000386
CD302,Gene,0.000135
Left-non-WM-hypointensities,MRI,0.0
Right-WM-hypointensities,MRI,0.0
Left-WM-hypointensities,MRI,0.0
Right-non-WM-hypointensities,MRI,0.0
